employee_id,employee_name,department_id,job_title,hire_date,employment_level,location,employment_type
1,Gaurav Deshmukh,7,Sales Analyst,2018-04-13,Senior,Mumbai,Contract
2,Ananya Joshi,1,HR Analyst,2022-09-25,Junior,Pune,Contract
3,Mohit Deshmukh,3,Finance Executive,2025-04-15,Junior,Delhi NCR,Full-Time
4,Karan Gupta,8,Support Analyst,2019-10-16,Senior,Hyderabad,Full-Time
5,Kavya Kapoor,2,Training Analyst,2022-04-06,Junior,Pune,Full-Time
6,Ishaan Bajaj,6,Quality Analyst,2022-03-31,Junior,Hyderabad,Full-Time
7,Ananya Sethi,1,People Operations Specialist,2020-07-22,Senior,Mumbai,Full-Time
8,Bhavna Verma,4,Content Strategist,2025-02-16,Mid,Hyderabad,Full-Time
9,Sameer Yadav,7,Business Development Executive,2025-08-31,Junior,Hyderabad,Full-Time
10,Sneha Naik,5,Cybersecurity Analyst,2021-01-10,Lead,Hyderabad,Full-Time
11,Aditya Saxena,9,Research Coordinator,2018-08-18,Mid,Nagpur,Full-Time
12,Kabir Joshi,1,HR Coordinator,2024-05-12,Senior,Remote,Full-Time
13,Harsh Singh,9,Market Research Associate,2025-03-18,Junior,Delhi NCR,Contract
14,Diya Singh,5,Cloud Engineer,2024-07-18,Junior,Mumbai,Full-Time
15,Vedant Iyer,9,Senior Research Analyst,2019-09-19,Senior,Mumbai,Full-Time
16,Riya Sethi,5,Software Engineer,2023-04-02,Mid,Mumbai,Contract
17,Ishaan Iyer,8,Customer Success Associate,2025-03-10,Junior,Remote,Full-Time
18,Priya Gokhale,10,BI Analyst,2026-01-26,Junior,Mumbai,Full-Time
19,Avni Verma,9,Market Research Associate,2023-09-11,Mid,Pune,Contract
20,Komal Mane,4,Content Strategist,2018-03-21,Mid,Hyderabad,Full-Time
21,Ananya Thakur,3,Finance Executive,2024-05-12,Senior,Mumbai,Contract
22,Riya Kulkarni,8,Team Lead - Support,2019-06-10,Senior,Nagpur,Full-Time
23,Deepa Naik,10,Reporting Analyst,2026-06-21,Junior,Nagpur,Full-Time
24,Gaurav Deshmukh,5,Software Engineer,2023-10-21,Mid,Chennai,Full-Time
25,Aarav Mehta,6,Supply Chain Analyst,2020-07-31,Senior,Pune,Full-Time
26,Aman Bhosale,1,HR Coordinator,2018-05-09,Lead,Hyderabad,Full-Time
27,Mihir Jadhav,7,Regional Sales Manager,2020-05-27,Senior,Remote,Full-Time
28,Aniket More,8,Team Lead - Support,2022-07-26,Mid,Chennai,Full-Time
29,Tanvi Yadav,5,Software Engineer,2026-03-06,Junior,Pune,Full-Time
30,Deepa Chavan,7,Account Manager,2019-03-24,Mid,Bengaluru,Full-Time
31,Aman Jain,3,Financial Analyst,2023-03-10,Mid,Pune,Contract
32,Gaurav Kulkarni,8,Customer Experience Analyst,2019-01-18,Lead,Nagpur,Full-Time
33,Bhavna Khan,5,IT Support Specialist,2022-07-01,Senior,Nagpur,Full-Time
34,Yash Thakur,10,Analytics Consultant,2023-02-07,Mid,Bengaluru,Full-Time
35,Rahul Patil,4,Marketing Manager,2018-08-28,Senior,Chennai,Full-Time
36,Radhika Kulkarni,1,HR Executive,2023-05-07,Mid,Mumbai,Full-Time
37,Gaurav Khan,1,People Operations Specialist,2018-10-06,Senior,Hyderabad,Contract
38,Varun Mishra,6,Quality Analyst,2024-12-11,Junior,Delhi NCR,Full-Time
39,Meera Singh,7,Sales Analyst,2021-07-10,Mid,Remote,Full-Time
40,Shreya Mishra,10,Data Analyst,2018-10-25,Mid,Mumbai,Contract
41,Kavya Mane,3,Financial Analyst,2020-12-22,Mid,Hyderabad,Full-Time
42,Zoya Rao,4,Marketing Manager,2022-11-30,Senior,Pune,Contract
43,Arjun Gupta,4,Marketing Analyst,2025-06-10,Junior,Mumbai,Contract
44,Zoya Shah,2,Training Analyst,2021-02-28,Senior,Delhi NCR,Contract
45,Naina Bajaj,5,IT Support Specialist,2018-07-28,Mid,Pune,Full-Time
46,Harsh Kulkarni,4,Marketing Manager,2019-06-20,Senior,Remote,Contract
47,Aman Mane,7,Business Development Executive,2024-04-16,Junior,Pune,Full-Time
48,Aditya Rao,6,Operations Manager,2019-08-30,Senior,Pune,Full-Time
49,Kavya Gokhale,3,Senior Financial Analyst,2020-10-19,Senior,Nagpur,Contract
50,Chetan Mane,8,Customer Experience Analyst,2020-08-27,Lead,Nagpur,Full-Time
51,Mohit Saxena,2,L&D Specialist,2021-09-22,Mid,Delhi NCR,Full-Time
52,Aditya Sethi,8,Team Lead - Support,2019-03-19,Senior,Hyderabad,Full-Time
53,Diya Deshmukh,8,Customer Support Executive,2023-03-01,Mid,Hyderabad,Full-Time
54,Isha Verma,4,Marketing Manager,2018-10-12,Lead,Nagpur,Contract
55,Harsh Kulkarni,4,Content Strategist,2018-04-24,Mid,Pune,Full-Time
56,Kabir Iyer,6,Operations Analyst,2021-11-16,Mid,Nagpur,Contract
57,Aarav Bhosale,3,Senior Financial Analyst,2018-07-01,Senior,Hyderabad,Full-Time
58,Shreya Shah,5,Software Engineer,2025-06-13,Mid,Delhi NCR,Contract
59,Yash Rao,4,Digital Marketing Executive,2022-07-31,Mid,Hyderabad,Full-Time
60,Chetan Kapoor,7,Sales Analyst,2022-04-02,Mid,Nagpur,Contract
61,Naina Saxena,8,Customer Experience Analyst,2021-05-29,Senior,Chennai,Full-Time
62,Pooja Saxena,5,Systems Analyst,2025-07-30,Junior,Mumbai,Full-Time
63,Ananya Bajaj,6,Process Executive,2025-02-05,Junior,Delhi NCR,Full-Time
64,Gaurav Pawar,8,Customer Support Executive,2019-08-27,Mid,Remote,Full-Time
65,Yash Khan,9,Insights Analyst,2024-06-15,Mid,Nagpur,Full-Time
66,Siddharth Sethi,2,L&D Coordinator,2025-09-17,Junior,Nagpur,Full-Time
67,Akash Chavan,2,L&D Specialist,2025-10-21,Junior,Mumbai,Full-Time
68,Riya Kapoor,2,Training Analyst,2023-03-19,Mid,Remote,Contract
69,Riya Jain,8,Customer Success Associate,2023-08-30,Mid,Remote,Full-Time
70,Isha Gokhale,3,Senior Financial Analyst,2020-10-09,Lead,Remote,Full-Time
71,Gaurav Gupta,4,Brand Analyst,2018-11-14,Senior,Chennai,Contract
72,Yash Singh,1,HR Analyst,2019-09-10,Mid,Mumbai,Full-Time
73,Akash Joshi,5,Cloud Engineer,2024-02-01,Mid,Nagpur,Contract
74,Siddharth Mishra,10,Senior Data Analyst,2018-03-22,Lead,Nagpur,Full-Time
75,Kunal Sethi,1,HR Business Partner,2021-12-11,Mid,Hyderabad,Full-Time
76,Kunal Shah,3,Finance Executive,2022-11-21,Mid,Bengaluru,Full-Time
77,Meera Mishra,10,Data Analyst,2024-12-23,Junior,Mumbai,Full-Time
78,Harsh Khan,2,Training Analyst,2023-03-07,Mid,Hyderabad,Full-Time
79,Mohit Gupta,4,Marketing Analyst,2022-04-02,Mid,Remote,Full-Time
80,Kavya Deshmukh,8,Customer Experience Analyst,2018-08-02,Lead,Mumbai,Full-Time
81,Aditi Kapoor,8,Customer Success Associate,2020-10-09,Mid,Hyderabad,Full-Time
